"","file_identifiers","A.identifier","biosample","batch.extraction","irf.study.id","id.cohort","id.individual","tissue","data.received","dn.rna","date.broad.extract","quant.18s","quant.18s.sd","quant.kulesh","quant.kulesh.sd","rin.e","rna.conc.ng.uL","lib.conc.pmolar","xgen.index","Assigned","Unassigned_Unmapped","Unassigned_Read_Type","Unassigned_Singleton","Unassigned_MappingQuality","Unassigned_Chimera","Unassigned_FragmentLength","Unassigned_Duplicate","Unassigned_MultiMapping","Unassigned_Secondary","Unassigned_NonSplit","Unassigned_NoFeatures","Unassigned_Overlapping_Length","Unassigned_Ambiguity","sub.tissue","SampleType","study.group","challenge.group","animal.number","animal.tatoo","sex","weight","birth.date","viralReadCount","hostReadCount","pc.viral.reads","cohort.uncertain","cohort.numeric","totalReadCount","totalUnassigned","chrY_count","chrX_count","total_count","Xist","sex.1","pc_Y","pc_X","Y_X_ratio","sex_pred","chrY_count.1","chrX_count.1","total_count.1","Xist.1","sex.2","pc_Y.1","pc_X.1","Y_X_ratio.1","sex_pred.1","pred_recorded_sex_mismatch","dpi_time","dpi_time_factor","chrY_count.2","chrX_count.2","chrY_count.3","chrX_count.3","xist_counts","predicted_sex","pred_rec_sex_mismatch","dpi_time_numeric","infected"
"A0216_S75_L002","A0216_S75_L002","A0216","RA1639_Brain-Gr","K","49-E2","D005","RA1639","Brain",2019-01-10,"RA1639_Brain-Gr_dnRNA-L","2019-10-17",2.25e+11,3.84e+10,1260,94.3,NA,NA,NA,NA,5366276,0,0,0,0,0,0,0,533771,0,0,7480742,0,178160,"Brain-Gr","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",82,5366194,1.52806154584669e-05,FALSE,5,5366276,8192673,54,144116,5366276,820,"F",1.00628443263075e-05,0.0268558680172246,0.000374698159815704,"F",54,144116,5366276,820,"F",1.00628443263075e-05,0.0268558680172246,0.000374698159815704,"F",FALSE,5,"5",54,144116,54,144116,820,"F",FALSE,5,"infected"
"A0218_S143_L002","A0218_S143_L002","A0218","RA1639_LN-AX-R","I","49-E2","D005","RA1639","Lymph node",2019-01-10,"RA1639_LN-AX-R_dnRNA-L","2019-10-09",2.58e+08,2400000,8420,2150,NA,NA,NA,NA,9245357,0,0,0,0,0,0,0,841702,0,0,10184416,0,423205,"","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",3767,9241590,0.000407447759994557,FALSE,5,9245357,11449323,83,200323,9245357,969,"F",8.97747918225332e-06,0.0216674164123679,0.000414330855668096,"F",83,200323,9245357,969,"F",8.97747918225332e-06,0.0216674164123679,0.000414330855668096,"F",FALSE,5,"5",83,200323,83,200323,969,"F",FALSE,5,"infected"
"A0219_S142_L002","A0219_S142_L002","A0219","RA1639_LN-ING-L","I","49-E2","D005","RA1639","Lymph node",2019-01-10,"RA1639_LN-ING-L_dnRNA-L","2019-10-09",6.5e+08,13300000,9740,2730,NA,NA,NA,NA,10434896,0,0,0,0,0,0,0,847966,0,0,11897173,0,432063,"","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",10561,10424335,0.00101208483534479,FALSE,5,10434896,13177202,107,233727,10434896,1058,"F",1.02540552392664e-05,0.0223985941019441,0.000457799056163815,"F",107,233727,10434896,1058,"F",1.02540552392664e-05,0.0223985941019441,0.000457799056163815,"F",FALSE,5,"5",107,233727,107,233727,1058,"F",FALSE,5,"infected"
"A0220_S141_L002","A0220_S141_L002","A0220","RA1639_LN-MES","I","49-E2","D005","RA1639","Lymph node",2019-01-10,"RA1639_LN-MES_dnRNA-L","2019-10-09",1.5e+09,9850000,2760,949,NA,NA,NA,NA,5250086,0,0,0,0,0,0,0,1775931,0,0,2267809,0,381959,"","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",30054,5220032,0.00572447765617554,FALSE,5,5250086,4425699,36,64928,5250086,171,"F",6.85703053245223e-06,0.0123670355114183,0.000554460325283391,"F",36,64928,5250086,171,"F",6.85703053245223e-06,0.0123670355114183,0.000554460325283391,"F",FALSE,5,"5",36,64928,36,64928,171,"F",FALSE,5,"infected"
"A0221","A0221","A0221","RA1639_LNG-CD-R","J","49-E2","D005","RA1639","Lung",2019-01-10,"RA1639_LNG-CD-R_dnRNA-L","2019-10-16",1.67e+11,6.87e+09,79.8,52.8,2.3,64,7690,17,1029420,0,0,0,0,0,0,0,967525,0,0,456600,0,67447,"","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",3102,1026318,0.00301334732179285,FALSE,5,1029420,1491572,9,7307,1029420,24,"F",8.74278720055954e-06,0.00709817178605428,0.00123169563432325,"F",9,7307,1029420,24,"F",8.74278720055954e-06,0.00709817178605428,0.00123169563432325,"F",FALSE,5,"5",9,7307,9,7307,24,"F",FALSE,5,"infected"
"A0221_A","A0221_A","A0221","RA1639_LNG-CD-R","J","49-E2","D005","RA1639","Lung",2019-01-10,"RA1639_LNG-CD-R_dnRNA-L","2019-10-16",1.67e+11,6.87e+09,79.8,52.8,2.3,64,7690,17,151764,0,0,0,0,0,0,0,106236,0,0,286126,0,21542,"","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",530,151234,0.00349226430510529,FALSE,5,151764,413904,6,1566,151764,2,"F",3.95350676049656e-05,0.010318652644896,0.00383141762452107,"F",6,1566,151764,2,"F",3.95350676049656e-05,0.010318652644896,0.00383141762452107,"F",FALSE,5,"5",6,1566,6,1566,2,"F",FALSE,5,"infected"
"A0221_B","A0221_B","A0221","RA1639_LNG-CD-R","J","49-E2","D005","RA1639","Lung",2019-01-10,"RA1639_LNG-CD-R_dnRNA-L","2019-10-16",1.67e+11,6.87e+09,79.8,52.8,2.3,64,7690,17,177099,0,0,0,0,0,0,0,25148,0,0,143051,0,12887,"","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",3339,173760,0.0188538613995562,FALSE,5,177099,181086,18,3562,177099,7,"F",0.000101638066843969,0.0201130441165676,0.00505334081976418,"F",18,3562,177099,7,"F",0.000101638066843969,0.0201130441165676,0.00505334081976418,"F",FALSE,5,"5",18,3562,18,3562,7,"F",FALSE,5,"infected"
"A0224_S27_L001","A0224_S27_L001","A0224","RA1639_Skin-Non-Rash","N","49-E2","D005","RA1639","Skin",2019-01-10,"RA1639_Skin-Non-Rash_dnRNA","2020-02-10",945000,7280,49.7,16,NA,2,10700,55,1931398,0,0,0,0,0,0,0,230473,0,0,1796861,0,89557,"Non-Rash","Experimental","5_dpe_scheduled",3,"NHP18","RA1639","F",8.04,"4/12/2012",340,1931058,0.000176038289363456,FALSE,5,1931398,2116891,38,32577,1931398,209,"F",1.96748676347392e-05,0.0168670569193921,0.00116646713939282,"F",38,32577,1931398,209,"F",1.96748676347392e-05,0.0168670569193921,0.00116646713939282,"F",FALSE,5,"5",38,32577,38,32577,209,"F",FALSE,5,"infected"
"A0225_S24_L001","A0225_S24_L001","A0225","RA1325_Spleen","M","49-E2","D006","RA1325","Spleen",2019-01-10,"RA1325_Spleen_dnRNA","2020-02-07",86600000,4740000,65900,3450,NA,NA,NA,NA,8072098,0,0,0,0,0,0,0,654353,0,0,9923891,0,743338,"","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",19936,8052162,0.00246974206705617,FALSE,6,8072098,11321582,5316,183529,8072098,0,"M",0.000658564848940139,0.0227362204968275,0.0289654496019703,"M",5316,183529,8072098,0,"M",0.000658564848940139,0.0227362204968275,0.0289654496019703,"M",FALSE,6,"6",5316,183529,5316,183529,0,"M",FALSE,6,"infected"
"A0226_S96_L002","A0226_S96_L002","A0226","RA1325_Kidney","J","49-E2","D006","RA1325","Kidney",2019-01-10,"RA1325_Kidney_dnRNA-L","2019-10-16",3.49e+10,8.41e+09,118,2.07,2,97.6,NA,NA,8425457,0,0,0,0,0,0,0,4024330,0,0,2545221,0,869331,"","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",4564,8420893,0.000541691685091978,FALSE,6,8425457,7438882,3835,101360,8425457,0,"M",0.000455168188503009,0.0120302079756623,0.0378354380426204,"M",3835,101360,8425457,0,"M",0.000455168188503009,0.0120302079756623,0.0378354380426204,"M",FALSE,6,"6",3835,101360,3835,101360,0,"M",FALSE,6,"infected"
"A0228","A0228","A0228","RA1325_Adrenal","D, ABCDE","49-E2","D006","RA1325","Adrenal Gland",2019-01-10,"RA1325_Adrenal_dnRNA","2019-04-09, 2020-03-14",93200000,1830000,35500,521,4.1,184,2980,39,50912,0,0,0,0,0,0,0,20336,0,0,155641,0,1042,"","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",15,50897,0.000294626021370207,FALSE,6,50912,177019,123,1559,50912,0,"M",0.0024159333752357,0.0306214644877436,0.0788967286722258,"M",123,1559,50912,0,"M",0.0024159333752357,0.0306214644877436,0.0788967286722258,"M",FALSE,6,"6",123,1559,123,1559,0,"M",FALSE,6,"infected"
"A0229","A0229","A0229","RA1325_Brain-Wh","K","49-E2","D006","RA1325","Brain",2019-01-10,"RA1325_Brain-Wh_dnRNA-L","2019-10-17",6.24e+10,2.4e+10,16.4,4.04,NA,NA,6210,18,6162744,0,0,0,0,0,0,0,819453,0,0,7090394,0,260247,"Brain-Wh","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",3,6162741,4.86796141459064e-07,FALSE,6,6162744,8170094,2613,156422,6162744,0,"M",0.000423999439210845,0.0253818753464366,0.0167048113436729,"M",2613,156422,6162744,0,"M",0.000423999439210845,0.0253818753464366,0.0167048113436729,"M",FALSE,6,"6",2613,156422,2613,156422,0,"M",FALSE,6,"infected"
"A0229_S107_L002","A0229_S107_L002","A0229","RA1325_Brain-Wh","K","49-E2","D006","RA1325","Brain",2019-01-10,"RA1325_Brain-Wh_dnRNA-L","2019-10-17",6.24e+10,2.4e+10,16.4,4.04,NA,NA,6210,18,4218912,0,0,0,0,0,0,0,464164,0,0,4856592,0,150837,"Brain-Wh","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",3,4218909,7.1108380549298e-07,FALSE,6,4218912,5471593,1887,109601,4218912,0,"M",0.000447271713655085,0.0259784987219454,0.0172169961952902,"M",1887,109601,4218912,0,"M",0.000447271713655085,0.0259784987219454,0.0172169961952902,"M",FALSE,6,"6",1887,109601,1887,109601,0,"M",FALSE,6,"infected"
"A0230_S74_L002","A0230_S74_L002","A0230","RA1325_Brain-Gr","K","49-E2","D006","RA1325","Brain",2019-01-10,"RA1325_Brain-Gr_dnRNA-L","2019-10-17",5.29e+11,3.77e+10,91,10.1,NA,NA,NA,NA,5545931,0,0,0,0,0,0,0,574686,0,0,8438552,0,171258,"Brain-Gr","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",7,5545924,1.26218663737432e-06,FALSE,6,5545931,9184496,2610,153648,5545931,0,"M",0.000470615303363854,0.0277046360656128,0.0169868791002812,"M",2610,153648,5545931,0,"M",0.000470615303363854,0.0277046360656128,0.0169868791002812,"M",FALSE,6,"6",2610,153648,2610,153648,0,"M",FALSE,6,"infected"
"A0232_S138_L002","A0232_S138_L002","A0232","RA1325_LN-AX-R","J","49-E2","D006","RA1325","Lymph node",2019-01-10,"RA1325_LN-AX-R_dnRNA-L","2019-10-16",11400000,179000,111000,14700,1.7,42.6,NA,NA,8860549,0,0,0,0,0,0,0,680486,0,0,12563386,0,283823,"","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",24482,8836067,0.00276303420927981,FALSE,6,8860549,13527695,8681,214310,8860549,0,"M",0.000979736131474472,0.0241869888649112,0.0405067425691755,"M",8681,214310,8860549,0,"M",0.000979736131474472,0.0241869888649112,0.0405067425691755,"M",FALSE,6,"6",8681,214310,8681,214310,0,"M",FALSE,6,"infected"
"A0233_S137_L002","A0233_S137_L002","A0233","RA1325_LN-ING-L","J","49-E2","D006","RA1325","Lymph node",2019-01-10,"RA1325_LN-ING-L_dnRNA-L","2019-10-16",17600000,315000,77600,14900,3.3,119,NA,NA,7201287,0,0,0,0,0,0,0,687693,0,0,11177013,0,205937,"","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",17501,7183786,0.00243026003546311,FALSE,6,7201287,12070643,7520,184031,7201287,0,"M",0.00104425778336567,0.025555293102469,0.0408626807440051,"M",7520,184031,7201287,0,"M",0.00104425778336567,0.025555293102469,0.0408626807440051,"M",FALSE,6,"6",7520,184031,7520,184031,0,"M",FALSE,6,"infected"
"A0234_S136_L002","A0234_S136_L002","A0234","RA1325_LN-MES","J","49-E2","D006","RA1325","Lymph node",2019-01-10,"RA1325_LN-MES_dnRNA-L","2019-10-16",1.16e+09,11300000,185000,70100,3,44.9,NA,NA,7137915,0,0,0,0,0,0,0,1038478,0,0,6976640,0,2112735,"","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",313549,6824366,0.0439272532665351,FALSE,6,7137915,10127853,5073,145327,7137915,0,"M",0.000710711741453912,0.0203598669919717,0.0349074845004713,"M",5073,145327,7137915,0,"M",0.000710711741453912,0.0203598669919717,0.0349074845004713,"M",FALSE,6,"6",5073,145327,5073,145327,0,"M",FALSE,6,"infected"
"A0235","A0235","A0235","RA1325_LNG-CD-R","J","49-E2","D006","RA1325","Lung",2019-01-10,"RA1325_LNG-CD-R_dnRNA-L","2019-10-16",6.59e+09,63.5,2.7,NA,2.1,51.2,1400,18,232589,0,0,0,0,0,0,0,103891,0,0,602412,0,32605,"","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",113,232476,0.000485835529625219,FALSE,6,232589,738908,149,4000,232589,0,"M",0.000640614990390775,0.0171977178628396,0.03725,"M",149,4000,232589,0,"M",0.000640614990390775,0.0171977178628396,0.03725,"M",FALSE,6,"6",149,4000,149,4000,0,"M",FALSE,6,"infected"
"A0237_S26_L001","A0237_S26_L001","A0237","RA1325_Skin-Rash","N","49-E2","D006","RA1325","Skin",2019-01-10,"RA1325_Skin-Rash_dnRNA","2020-02-10",2080000,85200,55.2,10,1.2,9,1740,56,57225,0,0,0,0,0,0,0,5917,0,0,33840,0,3151,"Rash","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",0,57225,0,FALSE,6,57225,42908,29,827,57225,0,"M",0.000506771515945828,0.0144517256443862,0.0350665054413543,"M",29,827,57225,0,"M",0.000506771515945828,0.0144517256443862,0.0350665054413543,"M",FALSE,6,"6",29,827,29,827,0,"M",FALSE,6,"infected"
"A0238_S25_L001","A0238_S25_L001","A0238","RA1325_Skin-Non-Rash","N","49-E2","D006","RA1325","Skin",2019-01-10,"RA1325_Skin-Non-Rash_dnRNA","2020-02-10",907000,235000,30.4,3.35,1.3,11,24000,57,6427510,0,0,0,0,0,0,0,420483,0,0,4421557,0,182556,"Non-Rash","Experimental","6_dpe_scheduled",4,"NHP23","RA1325","M",10.86,"5/25/2011",145,6427365,2.25592803433989e-05,FALSE,6,6427510,5024596,3192,115084,6427510,0,"M",0.000496615330042271,0.0179049118554464,0.0277362622084738,"M",3192,115084,6427510,0,"M",0.000496615330042271,0.0179049118554464,0.0277362622084738,"M",FALSE,6,"6",3192,115084,3192,115084,0,"M",FALSE,6,"infected"
"A0239_S23_L001","A0239_S23_L001","A0239","RA1856_Spleen","M","49-E2","D000","RA1856","Spleen",2019-01-10,"RA1856_Spleen_dnRNA","2020-02-07",1.52e+08,4690000,1.79,0.365,NA,NA,NA,NA,6813583,0,0,0,0,0,0,0,819231,0,0,7450123,0,803102,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,6813583,0,FALSE,0,6813583,9072456,5054,166868,6813583,0,"M",0.000741753641219312,0.0244904920069221,0.0302874128053312,"M",5054,166868,6813583,0,"M",0.000741753641219312,0.0244904920069221,0.0302874128053312,"M",FALSE,0,"0",5054,166868,5054,166868,0,"M",FALSE,0,"non.infected"
"A0240_S95_L002","A0240_S95_L002","A0240","RA1856_Kidney","J","49-E2","D000","RA1856","Kidney",2019-01-10,"RA1856_Kidney_dnRNA-L","2019-10-16",1.31e+10,NA,NA,NA,2,121,NA,NA,4193172,0,0,0,0,0,0,0,2003396,0,0,2003335,0,629117,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,4193172,0,FALSE,0,4193172,4635848,3552,53830,4193172,0,"M",0.000847091414327864,0.0128375368336906,0.0659855099386959,"M",3552,53830,4193172,0,"M",0.000847091414327864,0.0128375368336906,0.0659855099386959,"M",FALSE,0,"0",3552,53830,3552,53830,0,"M",FALSE,0,"non.infected"
"A0242","A0242","A0242","RA1856_Adrenal","D, ABCDE","49-E2","D000","RA1856","Adrenal Gland",2019-01-10,"RA1856_Adrenal_dnRNA","2019-04-09, 2020-03-14",48900000,404000,NA,NA,4,352,4180,51,260056,0,0,0,0,0,0,0,81028,0,0,246480,0,83396,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,260056,0,FALSE,0,260056,410904,77,5462,260056,0,"M",0.000296090072907374,0.0210031685483127,0.0140974002196997,"M",77,5462,260056,0,"M",0.000296090072907374,0.0210031685483127,0.0140974002196997,"M",FALSE,0,"0",77,5462,77,5462,0,"M",FALSE,0,"non.infected"
"A0243_S106_L002","A0243_S106_L002","A0243","RA1856_Brain-Wh","K","49-E2","D000","RA1856","Brain",2019-01-10,"RA1856_Brain-Wh_dnRNA-L","2019-10-17",3.29e+10,3.71e+10,0.018,0.016,NA,NA,4390,19,4827775,0,0,0,0,0,0,0,862993,0,0,4877167,0,142933,"Brain-Wh","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,4827775,0,FALSE,0,4827775,5883093,1581,117832,4827775,0,"M",0.000327480050333746,0.024407102650807,0.0134174078348836,"M",1581,117832,4827775,0,"M",0.000327480050333746,0.024407102650807,0.0134174078348836,"M",FALSE,0,"0",1581,117832,1581,117832,0,"M",FALSE,0,"non.infected"
"A0244_S73_L002","A0244_S73_L002","A0244","RA1856_Brain-Gr","K","49-E2","D000","RA1856","Brain",2019-01-10,"RA1856_Brain-Gr_dnRNA-L","2019-10-17",5.65e+10,5.16e+10,0.258,0.345,NA,NA,NA,NA,5788334,0,0,0,0,0,0,0,1298314,0,0,6251657,0,304620,"Brain-Gr","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",1,5788333,1.72761281570829e-07,FALSE,0,5788334,7854591,2866,144034,5788334,0,"M",0.000495133832981995,0.0248834984297727,0.0198980796200897,"M",2866,144034,5788334,0,"M",0.000495133832981995,0.0248834984297727,0.0198980796200897,"M",FALSE,0,"0",2866,144034,2866,144034,0,"M",FALSE,0,"non.infected"
"A0246_S135_L002","A0246_S135_L002","A0246","RA1856_LN-AX-R","J","49-E2","D000","RA1856","Lymph node",2019-01-10,"RA1856_LN-AX-R_dnRNA-L","2019-10-16",5.2e+08,727000,0.014,NA,3,105,NA,NA,5746212,0,0,0,0,0,0,0,923826,0,0,8766211,0,247287,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,5746212,0,FALSE,0,5746212,9937324,6451,127465,5746212,0,"M",0.00112265262750487,0.0221824394923125,0.0506099713646883,"M",6451,127465,5746212,0,"M",0.00112265262750487,0.0221824394923125,0.0506099713646883,"M",FALSE,0,"0",6451,127465,6451,127465,0,"M",FALSE,0,"non.infected"
"A0247_S134_L002","A0247_S134_L002","A0247","RA1856_LN-ING-L","J","49-E2","D000","RA1856","Lymph node",2019-01-10,"RA1856_LN-ING-L_dnRNA-L","2019-10-16",6.55e+08,1260000,0.805,NA,3.3,108,NA,NA,7176982,0,0,0,0,0,0,0,802845,0,0,9972955,0,241900,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,7176982,0,FALSE,0,7176982,11017700,8596,187338,7176982,0,"M",0.00119771792656022,0.0261026152775637,0.0458849779542858,"M",8596,187338,7176982,0,"M",0.00119771792656022,0.0261026152775637,0.0458849779542858,"M",FALSE,0,"0",8596,187338,8596,187338,0,"M",FALSE,0,"non.infected"
"A0248_S133_L002","A0248_S133_L002","A0248","RA1856_LN-MES","J","49-E2","D000","RA1856","Lymph node",2019-01-10,"RA1856_LN-MES_dnRNA-L","2019-10-16",2.13e+08,4770000,1.34,NA,2.6,50.5,NA,NA,2253340,0,0,0,0,0,0,0,1941498,0,0,506769,0,218807,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,2253340,0,FALSE,0,2253340,2667074,146,4932,2253340,0,"M",6.47927077138825e-05,0.00218875092085526,0.029602595296026,"M",146,4932,2253340,0,"M",6.47927077138825e-05,0.00218875092085526,0.029602595296026,"M",FALSE,0,"0",146,4932,146,4932,0,"M",FALSE,0,"non.infected"
"A0249_L1","A0249_L1","A0249","RA1856_LNG-CD-R","J","49-E2","D000","RA1856","Lung",2019-01-10,"RA1856_LNG-CD-R_dnRNA-L","2019-10-16",2.91e+09,0.667,0.217,NA,3.7,180,45700,19,46457,0,0,0,0,0,0,0,25104,0,0,128515,0,7527,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,46457,0,FALSE,0,46457,161146,15,636,46457,0,"M",0.000322879221645823,0.0136900789977829,0.0235849056603774,"M",15,636,46457,0,"M",0.000322879221645823,0.0136900789977829,0.0235849056603774,"M",FALSE,0,"0",15,636,15,636,0,"M",FALSE,0,"non.infected"
"A0249_L2","A0249_L2","A0249","RA1856_LNG-CD-R","J","49-E2","D000","RA1856","Lung",2019-01-10,"RA1856_LNG-CD-R_dnRNA-L","2019-10-16",2.91e+09,0.667,0.217,NA,3.7,180,45700,19,548590,0,0,0,0,0,0,0,461373,0,0,412841,0,32322,"","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",0,548590,0,FALSE,0,548590,906536,81,5964,548590,0,"M",0.000147651251389927,0.0108715069541917,0.0135814889336016,"M",81,5964,548590,0,"M",0.000147651251389927,0.0108715069541917,0.0135814889336016,"M",FALSE,0,"0",81,5964,81,5964,0,"M",FALSE,0,"non.infected"
"A0252_S24_L001","A0252_S24_L001","A0252","RA1856_Skin-Non-Rash","N","49-E2","D000","RA1856","Skin",2019-01-10,"RA1856_Skin-Non-Rash_dnRNA","2020-02-10",749000,184000,2.08,0.738,NA,NA,6750,59,2159238,0,0,0,0,0,0,0,223779,0,0,1137796,0,84206,"Non-Rash","Experimental","non_infected_control",2,"NHP C3","RA1856","M",8.08,"3/15/2012",1,2159237,4.63126343645304e-07,FALSE,0,2159238,1445781,882,28149,2159238,0,"M",0.000408477435095159,0.0130365434472717,0.031333262282852,"M",882,28149,2159238,0,"M",0.000408477435095159,0.0130365434472717,0.031333262282852,"M",FALSE,0,"0",882,28149,882,28149,0,"M",FALSE,0,"non.infected"
"A0253_S22_L001","A0253_S22_L001","A0253","RA1082_Spleen","M","49-E2","D000","RA1082","Spleen",2019-01-10,"RA1082_Spleen_dnRNA","2020-02-07",54600000,7060000,2.65,1.24,NA,NA,NA,NA,6710288,0,0,0,0,0,0,0,590600,0,0,8905988,0,195136,"","Experimental","non_infected_control",2,"NHP C1","RA1082","F",7.32,"3/15/2011",0,6710288,0,FALSE,0,6710288,9691724,191,176542,6710288,1086,"F",2.84637559520545e-05,0.0263091539439142,0.00108189552627703,"F",191,176542,6710288,1086,"F",2.84637559520545e-05,0.0263091539439142,0.00108189552627703,"F",FALSE,0,"0",191,176542,191,176542,1086,"F",FALSE,0,"non.infected"
"A0256","A0256","A0256","RA1082_Adrenal","D, ABCDE","49-E2","D000","RA1082","Adrenal Gland",2019-01-10,"RA1082_Adrenal_dnRNA","2019-04-09, 2020-03-14",73500000,1030000,0.342,0.003,4.1,49.4,2890,63,102900,0,0,0,0,0,0,0,116939,0,0,148246,0,7712,"","Experimental","non_infected_control",2,"NHP C1","RA1082","F",7.32,"3/15/2011",0,102900,0,FALSE,0,102900,272897,0,2123,102900,25,"F",0,0.0206316812439261,0,"F",0,2123,102900,25,"F",0,0.0206316812439261,0,"F",FALSE,0,"0",0,2123,0,2123,25,"F",FALSE,0,"non.infected"
"A0258_S72_L002","A0258_S72_L002","A0258","RA1082_Brain-Gr","K","49-E2","D000","RA1082","Brain",2019-01-10,"RA1082_Brain-Gr_dnRNA-L","2019-10-17",8.05e+10,4.45e+10,79.5,79.8,NA,NA,NA,NA,7319280,0,0,0,0,0,0,0,869953,0,0,10595115,0,283478,"Brain-Gr","Experimental","non_infected_control",2,"NHP C1","RA1082","F",7.32,"3/15/2011",1,7319279,1.36625460427802e-07,FALSE,0,7319280,11748546,147,212808,7319280,1629,"F",2.00839426828868e-05,0.0290749909827196,0.000690763505131386,"F",147,212808,7319280,1629,"F",2.00839426828868e-05,0.0290749909827196,0.000690763505131386,"F",FALSE,0,"0",147,212808,147,212808,1629,"F",FALSE,0,"non.infected"
"A0260_S132_L002","A0260_S132_L002","A0260","RA1082_LN-AX-R","J","49-E2","D000","RA1082","Lymph node",2019-01-10,"RA1082_LN-AX-R_dnRNA-L","2019-10-16",6880000,212000,1.26,NA,2.1,49.9,NA,NA,6117754,0,0,0,0,0,0,0,767490,0,0,11843219,0,202906,"","Experimental","non_infected_control",2,"NHP C1","RA1082","F",7.32,"3/15/2011",0,6117754,0,FALSE,0,6117754,12813615,300,162972,6117754,1551,"F",4.90376043234167e-05,0.0266391881726529,0.00184080700979309,"F",300,162972,6117754,1551,"F",4.90376043234167e-05,0.0266391881726529,0.00184080700979309,"F",FALSE,0,"0",300,162972,300,162972,1551,"F",FALSE,0,"non.infected"
"A0261_S131_L002","A0261_S131_L002","A0261","RA1082_LN-ING-L","J","49-E2","D000","RA1082","Lymph node",2019-01-10,"RA1082_LN-ING-L_dnRNA-L","2019-10-16",99600000,2440000,1.55,NA,2.9,54.1,NA,NA,9303377,0,0,0,0,0,0,0,838659,0,0,9919970,0,360579,"","Experimental","non_infected_control",2,"NHP C1","RA1082","F",7.32,"3/15/2011",0,9303377,0,FALSE,0,9303377,11119208,863,202916,9303377,1045,"F",9.2762015341311e-05,0.0218110047566599,0.00425299138559798,"F",863,202916,9303377,1045,"F",9.2762015341311e-05,0.0218110047566599,0.00425299138559798,"F",FALSE,0,"0",863,202916,863,202916,1045,"F",FALSE,0,"non.infected"
"A0262_S130_L002","A0262_S130_L002","A0262","RA1082_LN-MES","J","49-E2","D000","RA1082","Lymph node",2019-01-10,"RA1082_LN-MES_dnRNA-L","2019-10-16",50600000,923000,0.998,NA,1.3,63.6,NA,NA,5788460,0,0,0,0,0,0,0,920467,0,0,7590564,0,228220,"","Experimental","non_infected_control",2,"NHP C1","RA1082","F",7.32,"3/15/2011",0,5788460,0,FALSE,0,5788460,8739251,275,136281,5788460,888,"F",4.75083182746361e-05,0.0235435677192207,0.00201788950770834,"F",275,136281,5788460,888,"F",4.75083182746361e-05,0.0235435677192207,0.00201788950770834,"F",FALSE,0,"0",275,136281,275,136281,888,"F",FALSE,0,"non.infected"
